	Q1_C1	Q1_C2	Q1_C3	Q1_C4	Q2_C1	Q2_C2	Q2_C3	Q2_C4	Q3_C1	Q3_C2	Q3_C3	Q3_C4	Q4_C1	Q4_C2	Q4_C3	Q4_C4	Q5_C1	Q5_C2	Q5_C3	Q5_C4	Q6_C1	Q6_C2	Q6_C3	Q6_C4	Q7_C1	Q7_C2	Q7_C3	Q7_C4	Q8_C1	Q8_C2	Q8_C3	Q8_C4	Q9_C1	Q9_C2	Q9_C3	Q9_C4	Q10_C1	Q10_C2	Q10_C3	Q10_C4	Q11_C1	Q11_C2	Q11_C3	Q11_C4
sub-102	0.5692283186122742	0.549050994812885	0.49768624135124173	0.5033917984362034	0.5514094255077685	0.525386532378756	0.4784906882383919	0.48341124954071135	0.5358202053218641	0.49836850954045653	0.4455492414911215	0.4477236199346614	0.5125431108383025	0.47161293906077006	0.42634897963370355	0.4210387289395194	0.49677570546611055	0.4511648983528917	0.27190785896651265	0.4031011384757245	0.4548533265939083	0.4413729153926095	0.21052000600652027	0.3810161654438179	0.44047998925076126	0.42762723559895915	0.20292373007284048	0.3770129405657165	0.43491607619731787	0.4128857635449621	0.1825305365654011	0.3657097139929502	0.4227119042589478	0.39692411835548397	0.1577670593383052	0.1279960100820422	0.4058392572921989	0.11027645558718052	0.08704609918321245	0.1205653085599269	0.4010039645479044	0.11008151958157297	0.03566949814219034	0.11767724579533868
sub-103	0.42337552457520927	0.3988680717602701	0.38335176986881964	0.4473309171977965	0.40112252276145033	0.3840982298702378	0.3548751820853583	0.4199049011242728	0.3896802957350918	0.3756898417793284	0.33072972765308284	0.38727634719414333	0.37573903072551507	0.36191018836522115	0.007767189962451864	0.3598858210346035	0.3599573488210372	0.34875625047459935	0.00105720187960523	0.33524910793262935	0.3417662388989355	0.333050186073252	2.220446049250313e-15	0.3145783519403304	0.3249692641832513	0.31983351015506667	8.881784197001252e-15	1.0880185641326534e-14	0.3145047355631788	1.887379141862766e-14	1.1102230246251565e-14	1.5987211554602254e-14	0.30797160767441295	1.199040866595169e-14	-5.329070518200751e-15	2.398081733190338e-14	0.30657455987421145	1.2434497875801753e-14	-1.3322676295501878e-14	1.84297022087776e-14	0.30657455987421145	1.2434497875801753e-14	-1.0658141036401503e-14	1.6431300764452317e-14
sub-104	0.5331940489098834	0.5289429053051453	0.5356488939355513	0.5755166113394321	0.5042407104946593	0.5043292098843679	0.5109824348076818	0.5527930176343056	0.47918415463440067	0.482501609815592	0.4854292736057932	0.5340138450887091	0.457012688460743	0.45607710508439403	0.4584567665347235	0.5122933399599222	0.4386874482389042	0.43735403870867046	0.4318715832521081	0.48817616257178337	0.41897753675391103	0.4141923990705701	0.4175982582490423	0.46745332566323994	0.3535069170082947	0.39914922490332705	0.4025122587466062	0.4603452891464319	0.34036151406107673	0.36354005741144413	0.3841744571838021	0.4290614950790484	0.31953575625316805	0.3519637442260474	0.31717603683919743	0.4266224290634979	0.3101595004487386	0.34050306027467186	0.15002980126306548	0.40776188873989605	0.275703951768405	0.3221890365015174	0.1494293805445545	0.31463767787674407
sub-105	0.5672516299213701	0.5907624219692078	0.5188241925438702	0.5938200403162381	0.5341934164380341	0.5524379719126346	0.489694614332681	0.5695347389869441	0.518938938113716	0.5352759580452962	0.41670510917530035	0.5518154187779756	0.49437069918567755	0.5081476635541243	0.40156746143815325	0.535327433483045	0.48021841770020124	0.4785776916452509	0.39441946249258386	0.5191290396061456	0.4634849078310495	0.4603057749234555	0.36291873734702607	0.5067778240205544	0.45096343237972203	0.4340287461439073	0.3491247921812067	0.49265449141394263	0.4280245955900937	0.4227640379353964	0.3396710750699894	0.47256159173152645	0.40839849950005547	0.40940469033955207	0.3273477603806252	0.46633187327447945	0.39942210766588476	0.38277959325583066	0.3313562747869718	0.4474235222630591	0.3877355916798171	0.37375040293261247	0.3207228708877835	0.4343907280519568
sub-106	0.6017428320839143	0.6305040778984204	0.6278455819213214	0.5710317173420878	0.5753277416653103	0.5925708219493322	0.585234004101363	0.5420066453080465	0.5496778386006652	0.5615437284250532	0.568761044963881	0.5137735937930253	0.5222942698631654	0.5472073168739149	0.5530377079192944	0.47751291104134896	0.47618417475442076	0.5341374546159713	0.5379352690973552	0.4769871532638939	0.45815519213312195	0.5160808081000824	0.5168711326919766	0.45667007558617567	0.44319128524003976	0.5013264995386773	0.49622237750303627	0.4397758392699702	0.4266102458299864	0.48452005584164093	0.481027183039083	0.2839335280620353	0.41327456413778674	0.4687515625414698	0.4650178976372367	0.28558271916501127	0.39994645099917586	0.4530908723094401	0.45120216082038733	0.2649833088162417	0.3863806574794595	0.4326451004241506	0.4373063484604293	0.2509222787802273
sub-107	0.5720751508122044	0.48731368373821854	0.5367361593383031	0.5509957599062633	0.5478021236594617	0.45681711437629435	0.5185409206868459	0.5051557828981607	0.5183476502436714	0.27385292679808154	0.4958564102964207	0.48580769895249937	0.49575754880964457	0.27512555880524436	0.4483014926720282	0.4564310819347892	0.4641697656436997	0.25320089268645274	0.41971098257034484	0.4447482317015609	0.4465883645524286	0.24329228064355818	0.39693753809055515	0.4406706993523197	0.42910118612069387	0.23667133216185104	0.38994883337216973	0.4199357937809237	0.41010638808691396	0.2300074589741977	0.3712684638605859	0.39182663152459174	0.3938193331792417	0.2147814376365653	0.35775506459690015	0.3746047026386699	0.3805946599269542	0.21384203063852247	0.34989224477896996	0.36755629603089757	0.022179434722509606	0.16949595271374088	0.3374322664822892	0.3536687624603582
sub-108	0.5146825175136397	0.5987050970717632	0.5714328397968256	0.6469994713361669	0.48591756393338337	0.5741553412441376	0.5439720062492991	0.6337907593918801	0.46540730802361474	0.5490984527807559	0.5293180081269246	0.6144326828914974	0.4444941062141849	0.5227358243749581	0.5128189339131985	0.5964928721843313	0.42197217376889823	0.5091567501093097	0.49611304408441004	0.5899882532584803	0.4114637712852958	0.4952174868160262	0.473176572123258	0.5777678906183423	0.4057478611618623	0.4766165315614898	0.4576323076027967	0.5635500752427279	0.3938957129504656	0.4616885651856938	0.4385309829791221	0.5499928893059961	0.3802076374468972	0.45216644313192295	0.28115914639768796	0.5353794764850176	0.25433314688580744	0.3804007500300448	0.27329701746277796	0.5219038109564258	0.2548959027349362	0.3659886062693049	0.26792517063747484	0.5095291084984136
sub-109	0.5963390625908613	0.595131366681646	0.6095009251655253	0.5764048900852611	0.5671362635419042	0.559714901446418	0.58477535333223	0.5425181778777963	0.5338375999074984	0.5194214415029389	0.5582027668821289	0.5124033022244832	0.5049878258814496	0.4937442488782483	0.5359017352829712	0.49091104098590355	0.49241701515658126	0.4643307881022819	0.5138157299843344	0.4679872608731949	0.45835581507026013	0.4484818489497262	0.48629821931679096	0.44368179324662493	0.4287432262565352	0.3049986290843286	0.4671939905080351	0.4345224980917702	0.4128841594164549	0.28466182636036996	0.4497447327228707	0.42091557717396755	0.39847063858507065	0.15671927937924948	0.4306334641487215	0.3963997532686871	0.3858166411050974	0.1533558728800064	0.41842502079977284	0.28699989958775973	0.11116543162848082	0.15108079310758465	0.4069150675916034	0.2801026762675894
sub-110	0.4923445966896558	0.5402643044639266	0.5946138730416223	0.5328967804068855	0.45798586724351903	0.5210956471925269	0.5668091033189299	0.5064073942041387	0.45346730213904607	0.49894628119218787	0.5508041291172938	0.4851694019026233	0.31043419215664747	0.4110371289838476	0.5326071606444592	0.4623826090272356	0.3085319144035467	0.4119520225309479	0.5273638993354819	0.44873996417174716	0.28893017745622857	0.4002378210000312	0.508058914061984	0.43028309750485283	0.2771933412953286	0.3933503769111286	0.4930720109929487	0.4208141154053651	0.28063100132001884	0.383970047164127	0.4773789981769928	0.4023612171344069	0.2680722364532408	0.37486347389797947	0.46363201905773455	0.2879379753614608	0.2629326909567086	0.3638682807476477	0.4521356180102676	0.27873492528287414	0.23836855200119497	0.35689435854889534	0.4405203386551992	0.25210170200557785
sub-112	0.521291731053562	0.5778575419053128	0.5219021549272217	0.540460189054306	0.4786626124009513	0.5451141219706164	0.4959376911609715	0.5044975587358347	0.4447914990274097	0.5225339712162568	0.45977404890945184	0.4786190161449657	0.42030337935920214	0.49131364563969965	0.4455402892785835	0.4492226752216569	0.39612480076334544	0.4612028609452957	0.41737476219752756	0.4171060059495505	0.38254049955637726	0.43489216405511544	0.3945979946916581	0.3819563142888599	0.08455541786052961	0.4205064162723394	0.34108079925097173	0.36659771002274705	0.07504020966040546	0.4022599595284212	0.038912792444246544	0.039980968364496466	0.014766629040376157	0.351030576320108	0.041839128632975994	0.03844321550225458	0.01671468868145905	0.21114266989705618	0.03398162253874842	0.03850336053300685	0.015273641996977578	0.17615996015541505	0.028471711961114407	0.03245357370714454
